Time,CO2 (ppm),CH4 (ppb),N2O (ppb),CFC_11 (ppb),CFC_12 (ppb)
2025.29608,426.1967664,1949.70848,337.8454939,0.213031698,0.482884444
2025.337781,426.3029423,1950.04081,337.8870432,0.212958949,0.482732925
2025.379483,426.4091658,1950.373084,337.9286059,0.2128862,0.482581252
2025.421184,426.5154368,1950.705305,337.9701821,0.212813452,0.482429424
2025.462886,426.6217554,1951.037471,338.0117716,0.212740703,0.482277442
2025.504587,426.7281216,1951.369583,338.0533746,0.212667954,0.482125305
2025.546289,426.8345354,1951.701641,338.0949911,0.212595205,0.481973014
2025.58799,426.9409968,1952.033645,338.1366209,0.212522456,0.481820569
2025.629691,427.0475058,1952.365594,338.1782642,0.212449707,0.48166797
2025.671393,427.1540625,1952.69749,338.2199209,0.212376958,0.481515216
2025.713094,427.2606669,1953.029331,338.2615911,0.212304209,0.481362309
2025.754796,427.3673189,1953.361119,338.3032747,0.21223146,0.481209247
2025.796497,427.4740187,1953.692853,338.3449717,0.212158712,0.481056031
2025.838198,427.5807661,1954.024533,338.3866821,0.212085963,0.480902661
2025.8799,427.6875612,1954.356159,338.428406,0.212013214,0.480749137
2025.921601,427.7944041,1954.687732,338.4701433,0.211940465,0.480595459
2025.963303,427.9012947,1955.019251,338.5118941,0.211867716,0.480441627
2026.005004,428.008233,1955.350716,338.5536583,0.211794967,0.480287641
2026.046706,428.1152192,1955.682128,338.5954359,0.211722218,0.480133502
2026.088407,428.2222531,1956.013487,338.6372269,0.211649469,0.479979208
2026.130108,428.3293348,1956.344792,338.6790314,0.21157672,0.479824761
2026.17181,428.4364643,1956.676044,338.7208493,0.211503972,0.47967016
2026.213511,428.5436416,1957.007242,338.7626806,0.211431223,0.479515406
2026.255213,428.6508668,1957.338388,338.8045254,0.211358474,0.479360497
2026.296914,428.7581398,1957.66948,338.8463836,0.211285725,0.479205436
2026.338616,428.8654606,1958.000519,338.8882552,0.211212976,0.47905022
2026.380317,428.9728294,1958.331506,338.9301403,0.211140227,0.478894851
2026.422018,429.080246,1958.662439,338.9720388,0.211067478,0.478739329
2026.46372,429.1877105,1958.993319,339.0139508,0.210994729,0.478583653
2026.505421,429.295223,1959.324147,339.0558761,0.21092198,0.478427824
2026.547123,429.4027833,1959.654921,339.0978149,0.210849232,0.478271841
2026.588824,429.5103916,1959.985643,339.1397672,0.210776483,0.478115705
2026.630525,429.6180479,1960.316313,339.1817328,0.210703734,0.477959416
2026.672227,429.7257521,1960.646929,339.223712,0.210630985,0.477802973
2026.713928,429.8335043,1960.977494,339.2657045,0.210558236,0.477646378
2026.75563,429.9413045,1961.308005,339.3077105,0.210485487,0.477489629
