CO2 Age (year AD),CO2 (ppm),Uncert (ppm),CH4 Age (year AD),CH4 (ppb),Uncert (ppb),N2O Age (year AD),N2O (ppb),Uncert (ppb)
1870,286.2,1.2,1844,773,11,,,
1870,288.0,0.6,1844,769,8,,,
1869,288.8,3.2,1843,770,8,,,
1869,288.2,3.2,1842,776,5,,,
1868,288.1,0.4,1841,768,4,,,
1867,284.8,1.3,1841,770,4,,,
1867,285.5,2.7,1840,771,12,,,
1864,286.5,1.2,1840,760,10,,,
1863,285.5,0.9,1839,760,6,,,
1863,283.0,0.7,1838,775,7,,,
1862,287.2,0.6,1834,777,7,,,
1859,284.9,0.5,1833,764,5,,,
1859,286.8,0.4,1828,764,5,,,
1857,283.0,1.2,1827,764,7,,,
1855,283.3,0.5,1826,761,10,,,
1855,285.6,0.6,1822,755,12,,,
1854,288.1,2.1,1820,756,8,,,
1852,284.0,0.5,1815,746,7,,,
1851,285.5,0.9,1815,737,8,,,
1851,288.9,0.4,1811,746,11,,,
1851,283.9,1.2,1800,736,8,,,
1848,283.6,0.5,1800,739,7,,,
1847,286.8,0.6,,,,,,
1846,282.9,2.0,,,,,,
1846,284.5,2.0,,,,,,
1845,283.0,1.2,,,,,,
1845,283.4,1.2,,,,,,
1844,282.0,1.2,,,,,,
1844,280.8,1.2,,,,,,
1843,282.7,0.5,,,,,,
1842,282.8,0.5,,,,,,
1841,283.6,0.6,,,,,,
1838,282.6,0.5,,,,,,
1837,284.3,0.9,,,,,,
1833,284.0,0.9,,,,,,
1833,285.1,0.9,,,,,,
1827,285.9,0.6,,,,,,
1826,281.8,0.5,,,,,,
1825,281.5,0.9,,,,,,
1817,280.9,0.5,,,,,,
1814,284.6,0.9,,,,,,
1810,281.1,0.5,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
