Year(berkely),Temp (berkely),Year (GLB),temp_anomaly (GLB),CO2 Age (year AD),CO2 (ppm),Uncert (ppm),CH4 Age (year AD),CH4 (ppb),Uncert (ppb),N2O Age (year AD),N2O (ppb),Uncert (ppb)
1937.182579,-0.105298398,,,,,,,,,,,
1936.868344,-0.11355622,,,,,,,,,,,
1938.439522,-0.088782752,,,,,,,,,,,
1938.125287,-0.105298398,,,,,,,,,,,
1939.172739,-0.050246247,,,,,,,,,,,
1938.753758,-0.068138196,,,,,,,,,,,
1940.010701,-0.006204526,,,,,,,,,,,
1940.429682,-0.050246247,,,,,,,,,,,
1941.267644,0.010311119,,,,,,,,,,,
1941.58188,-0.028913538,,,,,,,,,,,
1941.267644,-0.039235817,,,,,,,,,,,
1942.838823,0.002053296,,,,,,,,,,,
1942.838823,-0.026849083,,,,,,,,,,,
1944.095765,-0.039235817,,,,,,,,,,,
1945.038473,-0.051622551,,,,,,,,,,,
1945.352708,-0.072267107,,,,,,,,,,,
1945.038473,-0.08052493,,,,,,,,,,,
1945.98118,-0.097040575,,,,,,,,,,,
1945.98118,-0.11355622,,,,,,,,,,,
1947.238123,-0.109427309,,,,,,,,,,,
1947.238123,-0.121814043,,,,,,,,,,,
1948.495066,-0.109427309,,,,,,,,,,,
1948.495066,-0.123878498,,,,,,,,,,,
1949.123537,-0.136265232,,,,,,,,,,,
1949.856754,-0.149340118,,,,,,,,,,,
1951.008951,-0.146587511,,,,,,,,,,,
1951.008951,-0.163103156,,,,,,,,,,,
1951.637423,-0.183747712,,,,,,,,,,,
1952.265894,-0.196134446,,,,,,,,,,,
1952.265894,-0.212650092,,,,,,,,,,,
1953.522837,-0.183747712,,,,,,,,,,,
1953.522837,-0.204392269,,,,,,,,,,,
1954.884525,-0.17548989,,,,,,,,,,,
1954.465544,-0.192005535,,,,,,,,,,,
1956.141468,-0.134200777,,,,,,,,,,,
1955.722487,-0.150716422,,,,,,,,,,,
1955.722487,-0.167232067,,,,,,,,,,,
1957.293666,-0.125942954,,,,,,,,,,,
1957.293666,-0.138329688,,,,,,,,,,,
1958.655354,-0.12456665,,,,,,,,,,,
1958.236373,-0.138329688,,,,,,,,,,,
1959.493316,-0.109427309,,,,,,,,,,,
1959.807552,-0.125942954,,,,,,,,,,,
1959.807552,-0.140394144,,,,,,,,,,,
1961.16924,-0.125942954,,,,,,,,,,,
1960.750259,-0.142458599,,,,,,,,,,,
1960.750259,-0.154845333,,,,,,,,,,,
1961.692966,-0.105298398,,,,,,,,,,,
1962.321438,-0.084653841,,,,,,,,,,,
1962.949909,-0.11355622,,,,,,,,,,,
1964.206852,-0.130071865,,,,,,,,,,,
1963.892616,-0.138329688,,,,,,,,,,,
1964.521088,-0.150716422,,,,,,,,,,,
1965.463795,-0.125942954,,,,,,,,,,,
1965.149559,-0.138329688,,,,,,,,,,,
1966.720738,-0.138329688,,,,,,,,,,,
1966.406502,-0.146587511,,,,,,,,,,,
1967.349209,-0.158974245,,,,,,,,,,,
1968.606152,-0.146587511,,,,,,,,,,,
1968.291916,-0.158974245,,,,,,,,,,,
1969.863095,-0.138329688,,,,,,,,,,,
1969.548859,-0.163103156,,,,,,,,,,,
1970.491567,-0.117685131,,,,,,,,,,,
1971.74851,-0.130071865,,,,,,,,,,,
1971.74851,-0.142458599,,,,,,,,,,,
1972.062745,-0.163103156,,,,,,,,,,,
1973.005452,-0.121814043,,,,,,,,,,,
1973.005452,-0.146587511,,,,,,,,,,,
1974.262395,-0.099105031,,,,,,,,,,,
1973.94816,-0.11355622,,,,,,,,,,,
1975.519338,-0.082589385,,,,,,,,,,,
1975.205103,-0.11355622,,,,,,,,,,,
1976.14781,-0.047493639,,,,,,,,,,,
1975.833574,-0.068138196,,,,,,,,,,,
1976.462045,-0.026849083,,,,,,,,,,,
1977.404753,-0.006204526,,,,,,,,,,,
1978.033224,-0.01859126,,,,,,,,,,,
1978.661696,0.006182208,,,,,,,,,,,
1979.290167,0.026826764,,,,,,,,,,,
1980.651855,0.032331979,,,,,,,,,,,
1980.232874,0.018568942,,,,,,,,,,,
1981.280327,0.057105447,,,,,,,,,,,
1981.804053,0.084631523,,,,,,,,,,,
1982.74676,0.097018256,,,,,,,,,,,
1983.689467,0.142436281,,,,,,,,,,,
1983.375231,0.121791724,,,,,,,,,,,
1983.375231,0.10940499,,,,,,,,,,,
1984.317939,0.167209749,,,,,,,,,,,
1985.679627,0.189230609,,,,,,,,,,,
1985.260646,0.175467571,,,,,,,,,,,
1986.517589,0.196112128,,,,,,,,,,,
1987.460296,0.220885596,,,,,,,,,,,
1987.14606,0.208498862,,,,,,,,,,,
1988.717239,0.216756684,,,,,,,,,,,
1988.403003,0.208498862,,,,,,,,,,,
1989.34571,0.200241039,,,,,,,,,,,
1989.974182,0.241530152,,,,,,,,,,,
1989.659946,0.220885596,,,,,,,,,,,
1990.602653,0.282819265,,,,,,,,,,,
1990.288417,0.262174709,,,,,,,,,,,
1991.231125,0.317915011,,,,,,,,,,,
1991.859596,0.307592733,,,,,,,,,,,
1991.54536,0.286948177,,,,,,,,,,,
1992.488068,0.334430657,,,,,,,,,,,
1992.802303,0.319979467,,,,,,,,,,,
1993.74501,0.357139669,,,,,,,,,,,
1993.430775,0.340624024,,,,,,,,,,,
1994.059246,0.406686604,,,,,,,,,,,
1994.373482,0.381913137,,,,,,,,,,,
1994.687718,0.427331161,,,,,,,,,,,
1995.630425,0.441782351,,,,,,,,,,,
1995.630425,0.394299871,,,,,,,,,,,
1996.887368,0.450040173,,,,,,,,,,,
1996.887368,0.414944427,,,,,,,,,,,
1996.573132,0.398428782,,,,,,,,,,,
1997.515839,0.491329286,,,,,,,,,,,
1997.620584,0.469996578,,,,,,,,,,,
1997.201603,0.435588984,,,,,,,,,,,
1998.249056,0.526425032,,,,,,,,,,,
1998.772782,0.5511985,,,,,,,,,,,
1998.458546,0.501651565,,,,,,,,,,,
1999.087018,0.600745436,,,,,,,,,,,
1999.401254,0.567714145,,,,,,,,,,,
1999.087018,0.538811766,,,,,,,,,,,
2000.029725,0.621389992,,,,,,,,,,,
2000.658196,0.586294246,,,,,,,,,,,
2000.343961,0.571843057,,,,,,,,,,,
2001.286668,0.654421283,,,,,,,,,,,
2001.286668,0.619325537,,,,,,,,,,,
2000.972432,0.600745436,,,,,,,,,,,
2001.600904,0.633776726,,,,,,,,,,,
2002.229375,0.724612775,,,,,,,,,,,
2002.648356,0.684699966,,,,,,,,,,,
2002.229375,0.666808017,,,,,,,,,,,
2002.229375,0.654421283,,,,,,,,,,,
2003.172082,0.739063965,,,,,,,,,,,
2003.800554,0.683323662,,,,,,,,,,,
2004.114789,0.736999509,,,,,,,,,,,
2004.743261,0.753515154,,,,,,,,,,,
2005.057497,0.701903763,,,,,,,,,,,
2005.371732,0.770030799,,,,,,,,,,,
2005.685968,0.736999509,,,,,,,,,,,
2005.371732,0.716354952,,,,,,,,,,,
2006.31444,0.7886109,,,,,,,,,,,
2006.628675,0.749386243,,,,,,,,,,,
2007.257147,0.778288622,,,,,,,,,,,
